order_id,customer_name,product,amount,date
1001,David,Laptop,,12/17/2021
1002,david,Headphones,1125.66,5/19/2022
1003,Charlie,Headphones,999999.99,2021/99/28
1004,Grace,Webcam,999999.99,2021/99/28
1005,grace,keyboard,N/A,2021-02-30
1006,grace,Laptop,N/A,5/11/2021
1007,alice,Monitor,3415.48,25-11-2021
1008,Grace,Laptop,,26/01/2022
1009,Ivy,Keyboard,,18/06/2022
1010,Grace,Charger,-50,not_a_date
1011,Bob,mouse,N/A,15-13-2021
1012,david,Webcam,999999.99,12/19/2022
1013,Bob,Keyboard,-50,not_a_date
1014,Eve,Webcam,,not_a_date
1015,Charlie,Webcam,999999.99,14/04/2022
1016,Grace,Laptop,2219.49,2021-02-30
1017,bob,Monitor,,28/10/2021
1018,Charlie,keyboard,999999.99,27-12-2021
1019,Jack,Laptop,999999.99,7/21/2021
1020,Ivy,Keyboard,N/A,23-06-2022
1021,Ivy,Laptop,999999.99,23-11-2022
1022,Bob,Keyboard,,not_a_date
1023,David,Headphones,-50,11/12/2021
1024,Ivy,Keyboard,999999.99,7/6/2021
1025,Eve,Headphones,,3/21/2021
1026,Ivy,monitor,,26-07-2022
1027,Ivy,Monitor,,21-03-2022
1028,bob,Laptop,N/A,4/11/2021
1029,David,Charger,-50,4/25/2021
1030,Charlie,Laptop,3364.94,2021-02-30
1031,alice,Keyboard,-50,3/5/2021
1032,David,laptop,,4/9/2021
1031,Grace,Webcam,,2021-02-30
1032,Jack,Monitor,,15-13-2021
1033,Ivy,Webcam,-50,3/6/2022
1034,bob,Keyboard,,3/11/2021
1035,Alice,Charger,-50,2021-02-30
1035,Alice,Headphones,,27-02-2022
1036,Charlie,Keyboard,666.38,not_a_date
1037,Grace,Laptop,,11/7/2022
1038,David,Charger,N/A,9/21/2021
1039,Grace,Mouse,,2021-02-30
1039,Jack,Keyboard,999999.99,18/04/2022
1040,Ivy,Monitor,999999.99,15-13-2021
1042,Alice,Headphones,3845.55,4/18/2021
1046,Jack,Mouse,-50,15-13-2021
1047,Jack,Charger,999999.99,10/28/2022
1048,grace,PHONE,,29-04-2021
1049,Grace,Mouse,1249.01,9/23/2022
1050,Charlie,MOUSE,N/A,22-04-2022
